,ANIO,MES,LOCALIDAD,COD_UPZ,Cluster
630,2020,11,SUBA,27,0
631,2020,11,SUBA,28,1
632,2020,11,SUBA,3,0
633,2020,11,TEUSAQUILLO,100,1
634,2020,11,TEUSAQUILLO,101,1
635,2020,11,TEUSAQUILLO,106,1
636,2020,11,TEUSAQUILLO,107,2
637,2020,11,TUNJUELITO,42,1
638,2020,11,TUNJUELITO,62,1
639,2020,11,USAQUÃ‰N,10,0
640,2020,11,USAQUÃ‰N,11,1
641,2020,11,USAQUÃ‰N,12,1
642,2020,11,USAQUÃ‰N,13,2
643,2020,11,USAQUÃ‰N,14,2
644,2020,11,USAQUÃ‰N,15,1
645,2020,11,USAQUÃ‰N,16,2
646,2020,11,USAQUÃ‰N,9,0
647,2020,11,USME,56,1
648,2020,11,USME,57,1
649,2020,11,USME,58,1
650,2020,11,USME,61,1
651,2020,12,ANTONIO NARIÃ‘O,35,1
652,2020,12,ANTONIO NARIÃ‘O,38,1
653,2020,12,BARRIOS UNIDOS,103,1
654,2020,12,BARRIOS UNIDOS,21,1
655,2020,12,BARRIOS UNIDOS,22,1
656,2020,12,BARRIOS UNIDOS,98,2
657,2020,12,BOSA,49,1
658,2020,12,BOSA,84,0
659,2020,12,BOSA,85,1
660,2020,12,BOSA,86,1
661,2020,12,CANDELARIA,94,1
662,2020,12,CHAPINERO,88,1
663,2020,12,CHAPINERO,90,1
664,2020,12,CHAPINERO,97,2
665,2020,12,CHAPINERO,99,2
666,2020,12,KENNEDY,113,1
667,2020,12,KENNEDY,44,2
668,2020,12,KENNEDY,45,1
669,2020,12,KENNEDY,46,1
670,2020,12,KENNEDY,48,1
671,2020,12,KENNEDY,79,2
672,2020,12,PUENTE ARANDA,108,1
673,2020,12,PUENTE ARANDA,111,1
674,2020,12,PUENTE ARANDA,40,1
675,2020,12,PUENTE ARANDA,41,1
676,2020,12,RAFAEL URIBE URIBE,39,1
677,2020,12,RAFAEL URIBE URIBE,53,1
678,2020,12,RAFAEL URIBE URIBE,54,0
679,2020,12,SANTA FE,91,2
680,2020,12,SANTA FE,93,2
681,2020,12,SUBA,17,1
682,2020,12,SUBA,18,2
683,2020,12,SUBA,19,1
684,2020,12,SUBA,2,1
685,2020,12,SUBA,20,1
686,2020,12,SUBA,23,2
687,2020,12,SUBA,24,2
688,2020,12,SUBA,25,1
689,2020,12,SUBA,27,0
690,2020,12,SUBA,28,1
691,2020,12,SUBA,3,0
692,2020,12,TEUSAQUILLO,100,1
693,2020,12,TEUSAQUILLO,101,1
694,2020,12,TEUSAQUILLO,106,1
695,2020,12,TEUSAQUILLO,107,2
696,2020,12,TUNJUELITO,42,1
697,2020,12,TUNJUELITO,62,1
698,2020,12,USAQUÃ‰N,10,0
699,2020,12,USAQUÃ‰N,11,1
700,2020,12,USAQUÃ‰N,12,1
701,2020,12,USAQUÃ‰N,13,2
702,2020,12,USAQUÃ‰N,14,2
703,2020,12,USAQUÃ‰N,15,1
704,2020,12,USAQUÃ‰N,16,2
